Name,House,Points,,
Lou Povall,Green,25,Community Values,L.Povall@pemberlyhs.com.au
Mamie Parram,Blue,5,Community Values,M.Parram@pemberlyhs.com.au
Mamie Parram,Blue,5,Community Values,M.Parram@pemberlyhs.com.au
Matthias Demschke,Red,5,Community Values,M.Demschke@pemberlyhs.com.au
Melodee Walisiak,Red,20,Community Values,M.Walisiak@pemberlyhs.com.au
,Green,5,Community Values,M.Liverock@pemberlyhs.com.au
Merrili Keemar,Blue,15,Community Values,M.Keemar@pemberlyhs.com.au
Myrna Vellacott,Red,15,Community Values,M.Vellacott@pemberlyhs.com.au
Neils Duggen,Yellow,5,Community Values,N.Duggen@pemberlyhs.com.au
Niko Thomazet,Red,25,Community Values,N.Thomazet@pemberlyhs.com.au
Philis Carville,Red,20,Community Values,P.Carville@pemberlyhs.com.au
Philis Carville,Red,20,Community Values,P.Carville@pemberlyhs.com.au
Prent Aspray,Green,25,Community Values,P.Aspray@pemberlyhs.com.au
Prent Aspray,Green,10,Community Values,P.Aspray@pemberlyhs.com.au
Puff Grzeszczak,Red,15,Community Values,P.Grzeszczak@pemberlyhs.com.au
Rae Cockings,Yellow,20,Community Values,R.Cockings@pemberlyhs.com.au
Rem Facher,Blue,20,Community Values,R.Facher@pemberlyhs.com.au
Robina Jeffress,Yellow,5,Community Values,R.Jeffress@pemberlyhs.com.au
Robina Jeffress,Yellow,15,Community Values,R.Jeffress@pemberlyhs.com.au
Rodolfo Copperwaite,Yellow,25,Community Values,R.Copperwaite@pemberlyhs.com.au
Roslyn Earry,Yellow,15,Community Values,R.Earry@pemberlyhs.com.au
Roxie Cammacke,Green,5,Community Values,R.Cammacke@pemberlyhs.com.au
Roxie Cammacke,Green,5,Community Values,R.Cammacke@pemberlyhs.com.au
Sheelah Evamy,Red,10,Community Values,S.Evamy@pemberlyhs.com.au
Shelagh Ruberti,Blue,10,Community Values,S.Ruberti@pemberlyhs.com.au
Shelagh Ruberti,Blue,25,Community Values,S.Ruberti@pemberlyhs.com.au
Sherri Yushkin,Red,25,Community Values,S.Yushkin@pemberlyhs.com.au
Sherri Yushkin,Red,25,Community Values,S.Yushkin@pemberlyhs.com.au
Spenser Witten,Red,15,Community Values,S.Witten@pemberlyhs.com.au
Standford Solly,Yellow,15,Community Values,S.Solly@pemberlyhs.com.au
Standford Solly,Yellow,25,Community Values,S.Solly@pemberlyhs.com.au
Torin Cartmale,Blue,20,Community Values,T.Cartmale@pemberlyhs.com.au
Vasily Dower,Yellow,15,Community Values,V.Dower@pemberlyhs.com.au
Vasily Dower,Yellow,25,Community Values,V.Dower@pemberlyhs.com.au
Vasily Dower,Yellow,10,Community Values,V.Dower@pemberlyhs.com.au
Vasily Dower,Yellow,15,Community Values,V.Dower@pemberlyhs.com.au
Vassily Teeney,Red,0,Community Values,V.Teeney@pemberlyhs.com.au
Vassily Teeney,Red,-25,Community Values,V.Teeney@pemberlyhs.com.au
Verne While,Green,20,Community Values,V.While@pemberlyhs.com.au
Verne While,Green,25,Community Values,V.While@pemberlyhs.com.au
William Cana,Green,25,Community Values,W.Cana@pemberlyhs.com.au
Wilow Readman,Red,25,Community Values,W.Readman@pemberlyhs.com.au
Wilow Readman,Red,15,Community Values,W.Readman@pemberlyhs.com.au
 Plows,Yellow,25,Community Values,.Plows@pemberlyhs.com.au
Arabela Brockley,Red,20,,A.Brockley@pemberlyhs.com.au
